Cluster,HQCD,EADD
cluster-0,2013-04-28,9
cluster-1,2013-06-02,0
cluster-2,2013-06-02,2
cluster-3,2013-06-23,4
cluster-4,2013-05-12,5
cluster-5,2013-06-09,8
cluster-6,2013-06-02,2
cluster-7,2013-05-26,1
cluster-8,2013-05-05,8
cluster-9,2013-05-19,0
cluster-10,2013-05-05,8
cluster-11,2013-04-14,1
cluster-12,2013-04-21,10
cluster-13,2013-08-25,13
cluster-14,2013-05-26,8
cluster-15,2013-05-19,4
cluster-16,2013-06-09,3
cluster-17,2013-04-21,6
cluster-18,2013-05-26,0
cluster-19,2013-05-19,3
cluster-20,2013-06-16,4
cluster-21,2013-05-12,4
cluster-22,2013-06-23,3
cluster-23,2013-06-09,4
cluster-24,2013-06-02,0
cluster-25,2013-06-30,4
cluster-26,2013-06-02,0
cluster-27,2013-08-11,16
cluster-28,2013-06-23,1
cluster-29,2013-07-21,2
